"","AveragePublishedPrice","ChangeInPriceIndex","EventDate","EventDuration","MaxSupply","MinSupply","ParticipatingBidders","QualifiedBidders","QuantitySold","TotalRounds","TwelveMonthQtySold","WinningBidders","EventMonth"
"1",4943,-0.8,2014-01-06 18:09:24,145,46956,44950,208,828,46418,12,901050,152,1
"2",5025,1.4,2014-01-20 18:09:24,129,41338,39620,193,833,41024,12,891483,134,1
"3",5042,0.5,2014-02-03 18:09:24,129,36098,34170,185,788,35399,12,940787,124,2
"4",5016,-1.2,2014-02-17 18:09:24,96,34998,33079,191,793,34568,9,938978,130,2
"5",4794,-4,2014-03-03 18:09:24,118,42037,39943,189,796,41086,11,942587,139,3
"6",4563,-5.2,2014-03-17 18:09:24,108,39806,37511,187,747,39008,10,937849,142,3
"7",4124,-8.9,2014-03-31 18:09:24,118,41092,38905,201,756,39653,11,890759,167,3
"8",4047,-2.6,2014-04-14 18:09:24,128,38674,36686,199,764,36549,12,891925,148,4
"9",3950,-1.1,2014-05-05 18:09:24,139,39220,37418,207,724,38174,13,927930,138,5
"10",3873,-1.8,2014-05-19 18:09:24,150,34328,32611,193,734,33677,14,924175,139,5
"11",3756,-4.2,2014-06-02 18:09:24,139,37560,35521,195,738,37012,13,931794,144,6
"12",3807,0.9,2014-06-16 18:09:24,161,32568,30611,193,690,31984,15,948880,124,6
"13",3595,-4.9,2014-06-30 18:09:24,129,43249,41074,184,702,41513,12,972539,149,6
"14",3309,-8.9,2014-07-14 18:09:24,141,38483,36604,177,663,36656,13,995176,144,7
"15",3025,-8.4,2014-08-04 18:09:24,118,49966,47799,178,668,48380,11,1001094,153,8
"16",3000,-0.6,2014-08-18 18:09:24,141,48179,45673,181,650,46387,13,1017134,141,8
"17",2787,-6,2014-09-01 18:09:24,106,59070,56598,184,660,57010,10,1054146,158,9
"18",2795,0,2014-09-15 18:09:24,117,52785,50233,191,642,50801,11,1061878,152,9
"19",2599,-7.3,2014-09-30 18:09:24,140,56476,54112,167,657,55057,13,1079717,145,9
"20",2640,1.4,2014-10-14 18:09:24,151,52026,49797,167,668,50816,14,1077483,132,10
"21",2649,-0.3,2014-11-03 18:09:24,133,46283,44733,165,672,45499,12,1087915,139,11
"22",2561,-3.1,2014-11-17 18:09:24,140,40145,38750,173,676,39613,13,1073715,134,11
"23",2513,-1.1,2014-12-01 18:09:24,117,39935,38370,177,689,39273,11,1074552,128,12
"24",2609,2.4,2014-12-15 18:09:24,155,35745,34270,176,667,35390,14,1071880,126,12
"25",2709,3.6,2015-01-05 18:09:24,150,34300,32535,173,671,33669,14,1035020,121,1
"26",2758,1,2015-01-19 18:09:24,129,31835,29946,169,677,31326,12,1042575,113,1
"27",3042,9.4,2015-02-02 18:09:24,173,28705,26927,169,688,28000,16,1088074,111,2
"28",3366,10.1,2015-02-16 18:09:24,137,23485,22175,167,694,22957,14,1078383,97,2
"29",3374,1.1,2015-03-02 18:09:24,136,22555,20955,160,703,22094,14,1065359,107,3
"30",3136,-8.8,2015-03-16 18:09:24,122,20980,19530,134,667,20258,12,1048805,110,3
"31",2746,-10.8,2015-03-31 18:09:24,106,24010,22580,127,669,23162,11,1000947,96,3
"32",2620,-3.6,2015-04-14 18:09:24,107,25835,24290,154,673,25596,11,988198,108,4
"33",2515,-3.5,2015-05-04 18:09:24,127,27910,26505,144,685,27369,13,1006500,117,5
"34",2472,-2.2,2015-05-18 18:09:24,137,27245,25645,162,687,26535,14,994058,128,5
"35",2412,-4.3,2015-06-01 18:09:24,117,28455,26740,148,642,27711,12,981584,115,6
"36",2409,-1.3,2015-06-15 18:09:24,117,24445,22770,156,649,24047,12,960756,125,6
"37",2276,-5.9,2015-06-30 18:09:24,106,33595,31570,158,652,33200,11,944910,140,6
"38",2082,-10.7,2015-07-14 18:09:24,96,33095,31105,135,628,31691,10,930853,130,7
"39",1815,-9.3,2015-08-03 18:09:24,117,48515,46245,152,637,46527,12,921673,142,8
"40",1974,14.8,2015-08-17 18:09:24,166,37400,35275,177,621,36904,17,910034,136,8
"41",2226,10.9,2015-08-31 18:09:24,157,36515,34395,166,635,35865,16,904068,116,8
"42",2568,16.5,2015-09-14 18:09:24,182,36515,34515,186,639,36050,18,891103,121,9
"43",2834,9.9,2015-10-05 18:09:24,157,35690,33760,180,635,35243,17,850806,119,10
"44",2735,-3.1,2015-10-19 18:09:24,112,35215,33375,163,639,34519,12,845841,127,10
"45",2569,-7.4,2015-11-02 18:09:24,92,35390,33525,151,643,33997,10,892368,132,11
"46",2345,-7.9,2015-11-16 18:09:24,115,31425,29690,141,609,30044,13,880892,117,11
"47",2419,3.6,2015-11-30 18:09:24,132,29763,28018,161,613,28158,15,870370,121,11
"48",2458,1.9,2015-12-14 18:09:24,99,25595,23965,161,613,24888,10,849410,112,12
"49",2458,-1.6,2016-01-04 18:09:24,114,26174,24470,166,616,25671,12,778795,127,1
"50",2405,-1.4,2016-01-18 18:09:24,107,23265,21650,156,616,21930,11,762498,115,1
"51",2276,-7.4,2016-02-01 18:09:24,100,26305,23535,144,619,24474,11,796495,124,2
"52",2235,-2.8,2016-02-15 18:09:24,118,24200,21665,151,604,22021,14,781040,115,2
"53",2253,1.4,2016-02-29 18:09:24,131,24520,22125,160,607,21880,14,769585,122,2
"54",2190,-2.9,2016-03-14 18:09:24,117,22365,20031,134,606,20406,13,755200,118,3
"55",2188,2.1,2016-04-04 18:09:24,135,24682,21912,163,615,22682,15,745481,119,4
"56",2263,3.8,2016-04-18 18:09:24,118,22569,19904,163,617,21206,13,733742,114,4
"57",2203,-1.4,2016-05-02 18:09:24,106,21530,19250,147,620,20615,12,726890,118,5
"58",2283,2.6,2016-05-16 18:09:24,120,18925,16735,155,623,18113,14,720911,111,5
"59",2329,3.4,2016-05-31 18:09:24,151,25217,21680,161,614,24046,18,719834,108,5
"60",2339,0,2016-06-14 18:09:24,117,24680,21181,168,601,23089,13,718146,114,6
"61",2345,-0.4,2016-07-04 18:09:24,136,35240,30614,164,602,32500,15,697408,133,7
"62",2336,0,2016-07-18 18:09:24,120,33620,29195,168,603,31348,13,693018,133,7
"63",2436,6.6,2016-08-01 18:09:24,118,37290,31725,180,605,34928,12,713633,138,8
"64",2731,12.7,2016-08-15 18:09:24,156,40765,35085,177,606,37766,17,704377,119,8
"65",2920,7.7,2016-09-05 18:09:24,129,39705,34200,199,613,36748,14,674177,131,9
"66",2975,1.7,2016-09-19 18:09:24,115,37435,32270,175,616,35086,13,673219,129,9
"67",2880,-3,2016-10-03 18:09:24,111,35760,30775,166,617,33937,13,672519,125,10
"68",2965,1.4,2016-10-17 18:09:24,92,33080,28550,164,620,31525,10,672176,115,10
"69",3327,11.4,2016-10-31 18:09:24,143,29305,24725,166,510,27735,17,707104,107,10
"70",3519,4.5,2016-11-14 18:09:24,141,25980,21815,164,510,23902,18,698343,106,11
"71",3622,3.5,2016-12-05 18:09:24,117,24570,20520,159,516,22472,13,662322,109,12
"72",3656,-0.5,2016-12-19 18:09:24,112,23760,19875,168,520,22321,13,661358,123,12
"73",3463,-3.9,2017-01-02 18:09:24,117,23825,19930,151,523,22396,13,695295,120,1
"74",3517,0.6,2017-01-16 18:09:24,93,23325,19555,178,526,22030,10,691577,113,1
"75",3537,1.3,2017-02-06 18:09:24,106,22735,19065,172,530,21273,12,650796,104,2
"76",3474,-3.2,2017-02-20 18:09:24,97,22205,18795,149,530,20479,12,644654,114,2
"77",3512,-6.3,2017-03-06 18:09:24,89,24025,20440,134,530,22328,10,638968,113,3
"78",3101,1.7,2017-03-20 18:09:24,109,24423,20933,154,533,22498,12,636401,113,3
"79",3005,1.6,2017-04-03 18:09:24,111,24960,21330,157,537,22642,13,658797,118,4
"80",3139,3.1,2017-04-17 18:09:24,125,24435,20890,173,541,22927,14,655156,130,4
"81",3166,3.6,2017-05-01 18:09:24,139,24328,20380,163,548,22633,15,633226,106,5
"82",3313,3.2,2017-05-15 18:09:24,153,22398,19130,164,553,21236,19,630025,103,5
"83",3395,0.6,2017-06-05 18:09:24,145,23566,19705,183,563,22004,16,628931,125,6
"84",3434,-0.8,2017-06-19 18:09:24,168,22464,19055,160,522,21171,21,631023,111,6
"85",3303,-0.4,2017-07-03 18:09:24,157,30043,25640,165,523,28574,19,653665,127,7
"86",3387,0.2,2017-07-17 18:09:24,145,28343,24020,160,525,26688,17,653910,115,7
"87",3343,-1.6,2017-07-31 18:09:24,126,35510,29840,162,521,32768,14,655337,129,7
"88",3339,-0.4,2017-08-14 18:09:24,118,34445,29065,174,522,32260,13,655958,140,8
"89",3323,0.3,2017-09-04 18:09:24,134,37265,31430,173,537,33501,15,635803,140,9
"90",3368,0.9,2017-09-18 18:09:24,140,37190,31540,174,539,34117,17,633885,134,9
"91",3223,-2.4,2017-10-02 18:09:24,135,39615,33610,149,541,37990,16,662459,132,10
"92",3204,-1,2017-10-16 18:09:24,137,38240,32800,165,544,35669,16,656647,137,10
"93",3105,-3.5,2017-11-06 18:09:24,129,38240,32575,165,554,35072,14,623139,133,11
"94",2970,-3.4,2017-11-20 18:09:24,114,37235,32000,160,557,35042,14,617633,139,11
"95",3091,0.4,2017-12-04 18:09:24,119,32675,27645,160,563,29514,13,651134,123,12
"96",2969,-3.9,2017-12-18 18:09:24,120,32605,27620,167,509,29592,13,648503,139,12
"97",3124,2.2,2018-01-01 18:09:24,128,27805,23005,158,516,25400,16,651407,112,1
"98",3310,4.9,2018-01-15 18:09:24,125,25915,21510,200,517,23319,14,653139,129,1
"99",3553,5.9,2018-02-05 18:09:24,138,24380,19995,188,524,22197,15,628951,126,2
"100",3623,-0.5,2018-02-19 18:09:24,125,22845,18550,152,527,20256,14,640091,114,2
"101",3593,-0.6,2018-03-05 18:09:24,162,21180,17210,174,529,19292,22,669605,130,3
