Product Type,Date of Event,Average Price (USD/MT),Change in Price Index from Previous Event,CP1 Price,CP2 Price,CP3 Price,CP4 Price,CP5 Price,CP6 Price,Total Sold Quantity
WMP,2-Jul-08,4395.448218,-0.005080066,4376.912697,4379.15,4443.440467,n.a.,n.a.,n.a.,10129
SMP,2-Jul-08,n.a.,0.035971223,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
AMF,2-Jul-08,n.a.,0.01300813,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
BUT,2-Jul-08,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
BMP,2-Jul-08,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
WMP,5-Aug-08,3843.10625,-0.1292,3754.084375,4009.65,3761.58,n.a.,n.a.,n.a.,16000
SMP,5-Aug-08,n.a.,-0.045138889,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
AMF,5-Aug-08,n.a.,-0.085072231,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
BUT,5-Aug-08,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
BMP,5-Aug-08,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
WMP,2-Sep-08,3306.479639,-0.1415,3193.254617,3432.023074,3334.291667,n.a.,n.a.,n.a.,13973
SMP,2-Sep-08,n.a.,-0.12,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
AMF,2-Sep-08,n.a.,-0.060526316,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
BUT,2-Sep-08,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
BMP,2-Sep-08,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
WMP,1-Oct-08,2916.668158,-0.1176,2864.990953,2896.821919,3034.77,n.a.,n.a.,n.a.,22345
SMP,1-Oct-08,n.a.,-0.140495868,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
AMF,1-Oct-08,n.a.,-0.056022409,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
BUT,1-Oct-08,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
BMP,1-Oct-08,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
WMP,4-Nov-08,2585.429448,-0.1128,2434.65454,2683.625,2623.23692,n.a.,n.a.,n.a.,18256
SMP,4-Nov-08,n.a.,-0.153846154,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
AMF,4-Nov-08,n.a.,-0.136498516,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
BUT,4-Nov-08,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
BMP,4-Nov-08,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
WMP,2-Dec-08,2223.663668,-0.1383,2078.4915,2284.416667,2440.714286,n.a.,n.a.,n.a.,13784
SMP,2-Dec-08,n.a.,-0.090909091,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
AMF,2-Dec-08,n.a.,-0.068728522,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
BUT,2-Dec-08,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
BMP,2-Dec-08,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
WMP,6-Jan-09,2017.2536,-0.086,2106.49375,1954.057495,2052.613636,n.a.,n.a.,n.a.,15138
SMP,6-Jan-09,n.a.,-0.0875,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
AMF,6-Jan-09,n.a.,-0.05904059,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
BUT,6-Jan-09,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
BMP,6-Jan-09,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
WMP,3-Feb-09,1851.181407,-0.0816,1844.315327,1859.707956,1845.117845,n.a.,n.a.,n.a.,13704
SMP,3-Feb-09,n.a.,-0.04109589,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
AMF,3-Feb-09,n.a.,-0.058823529,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
BUT,3-Feb-09,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
BMP,3-Feb-09,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
WMP,3-Mar-09,2158.299214,0.1753,2114.564503,2216.032923,2154.09375,n.a.,n.a.,n.a.,12847
SMP,3-Mar-09,n.a.,0.035714286,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
AMF,3-Mar-09,n.a.,0,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
BUT,3-Mar-09,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
BMP,3-Mar-09,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
WMP,1-Apr-09,2234.837915,0.0241,2133.39307,2321.5875,2254.225,n.a.,n.a.,n.a.,12185
SMP,1-Apr-09,n.a.,0.094252874,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
AMF,1-Apr-09,n.a.,0,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
BUT,1-Apr-09,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
BMP,1-Apr-09,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
WMP,12-May-09,2143.552352,-0.0405,2168.469793,2162.459101,2112.6625,n.a.,n.a.,n.a.,14603
SMP,12-May-09,n.a.,0.008403361,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
AMF,12-May-09,n.a.,0.047916667,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
BUT,12-May-09,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
BMP,12-May-09,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
WMP,2-Jun-09,1886.169534,-0.1176,2002.339474,1894.328467,1814.133835,n.a.,n.a.,n.a.,17554
SMP,2-Jun-09,n.a.,0.00625,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
AMF,2-Jun-09,n.a.,0.023856859,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
BUT,2-Jun-09,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
BMP,2-Jun-09,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
WMP,1-Jul-09,1828.775789,-0.0295,1841.278,1805.8125,1848.975,n.a.,n.a.,n.a.,19000
SMP,1-Jul-09,n.a.,0,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
AMF,1-Jul-09,n.a.,0.009708738,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
BUT,1-Jul-09,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
BMP,1-Jul-09,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
WMP,4-Aug-09,2301.167264,0.2428,2304.516686,2306.579015,2291.100563,n.a.,n.a.,n.a.,20094
SMP,4-Aug-09,n.a.,0.031055901,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
AMF,4-Aug-09,n.a.,0.040384615,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
BUT,4-Aug-09,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
BMP,4-Aug-09,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
WMP,1-Sep-09,2858.292648,0.2388,2872.468333,2846.783099,2861.300578,n.a.,n.a.,n.a.,20851
SMP,1-Sep-09,n.a.,0.129518072,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
AMF,1-Sep-09,n.a.,0.07948244,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
BUT,1-Sep-09,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
BMP,1-Sep-09,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
WMP,6-Oct-09,3022.045799,0.0623,3019.069734,3008.201804,3051.879586,n.a.,n.a.,n.a.,24411
SMP,6-Oct-09,n.a.,0.155555556,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
AMF,6-Oct-09,n.a.,0.200913242,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
BUT,6-Oct-09,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
BMP,6-Oct-09,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
WMP,3-Nov-09,3436.593734,0.1361,3352.345118,3393.225,3684.04,n.a.,n.a.,n.a.,25023
SMP,3-Nov-09,n.a.,0.246153846,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
AMF,3-Nov-09,4756.934426,0.177657857,4809.056848,4727.895642,4735,n.a.,n.a.,n.a.,3355
BUT,3-Nov-09,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
BMP,3-Nov-09,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
WMP,1-Dec-09,3559.917864,0.0379,3522.500245,3539.902326,3716.061993,n.a.,n.a.,n.a.,24776
SMP,1-Dec-09,n.a.,0,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
AMF,1-Dec-09,4348.870482,-0.0853,4405.5,4328.178156,4335,n.a.,n.a.,n.a.,3984
BUT,1-Dec-09,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
BMP,1-Dec-09,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
WMP,5-Jan-10,3308.847475,-0.073,3281.987179,3254.784091,3522.99375,n.a.,n.a.,n.a.,24750
SMP,5-Jan-10,n.a.,-0.092592593,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
AMF,5-Jan-10,4539.058278,0.0442,4516.869159,4492.528736,4735,n.a.,n.a.,n.a.,3775
BUT,5-Jan-10,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
BMP,5-Jan-10,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
WMP,2-Feb-10,3256.035854,-0.0171,3199.594331,3307.513534,3286.63125,n.a.,n.a.,n.a.,21002
SMP,2-Feb-10,n.a.,-0.102040816,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
AMF,2-Feb-10,4182.771291,-0.069,4164.726225,4196.389497,4183,n.a.,n.a.,n.a.,2912
BUT,2-Feb-10,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
BMP,2-Feb-10,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
WMP,2-Mar-10,3280.921053,0.0109,3291.1425,3336.843588,3203.74219,n.a.,n.a.,n.a.,22648
SMP,2-Mar-10,2926.954967,0.031818182,2825.427419,3143.281573,2927.380873,n.a.,n.a.,n.a.,7550
