AveragePublishedPrice,AverageWinningPrice,ChangeInPriceIndex,EventDate,EventDuration,EventGUID,EventLabel,EventNumber,MaxSupply,MinSupply,ParticipatingBidders,QualifiedBidders,QuantitySold,TotalRounds,TwelveMonthQtySold,WinningBidders
,4943,-0.8,1/7/14 12:00,2:25,4f8e71ee-a370-48e5-a93a-ac5934e27a7a,Event,107,46956,44950,208,828,46418,12,901050,152
,5025,1.4,1/21/14 12:00,2:09,3b31b38a-98dd-424c-bff7-985b36f43f34,Event,108,41338,39620,193,833,41024,12,891483,134
,5042,0.5,2/4/14 12:00,2:09,40adc292-6b30-47ab-a3e4-3bf271b139ee,Event,109,36098,34170,185,788,35399,12,940787,124
,5016,-1.2,2/18/14 12:00,1:36,ccf1f254-9d7d-4f97-bc07-da60d3696f1b,Event,110,34998,33079,191,793,34568,9,938978,130
,4794,-4,3/4/14 12:00,1:58,7c2b31bc-60ae-4382-a046-5a707582eff5,Event,111,42037,39943,189,796,41086,11,942587,139
,4563,-5.2,3/18/14 12:00,1:48,7293dfa0-50d5-44fc-a858-d882905523be,Event,112,39806,37511,187,747,39008,10,937849,142
,4124,-8.9,4/1/14 12:00,1:58,6ab79bd6-1cf5-45a6-9178-487393adb6e8,Event,113,41092,38905,201,756,39653,11,890759,167
,4047,-2.6,4/15/14 12:00,2:08,5ce9228c-e4cf-40db-b628-2ab847a038c0,Event,114,38674,36686,199,764,36549,12,891925,148
,3950,-1.1,5/6/14 12:00,2:19,bc269fe1-49c4-48d3-a22b-d6087612d088,Event,115,39220,37418,207,724,38174,13,927930,138
,3873,-1.8,5/20/14 12:00,2:30,1f78df3a-08e6-49ab-8b15-0fc28f14d55b,Event,116,34328,32611,193,734,33677,14,924175,139
,3756,-4.2,6/3/14 12:00,2:19,c694c1e3-07d9-44b7-8e8f-d27bbfab1174,Event,117,37560,35521,195,738,37012,13,931794,144
