"","X","Date","AMF_Price","AMF_QtySold","BMP_Price","BMP_QtySold","BUT_Price","BUT_QtySold","SMP_Price","SMP_QtySold","WMP_Price","WMP_QtySold","Qualified.Bidders","Participating.Bidders","Winning.Bidders","Rounds","Duration","World.Price..US...and.SDRs"
"1",1,"2010-03-02",3958,2862,3443.49763206118,-1142.18315080792,3174.05852164456,1128.10054271878,2926,7550,3280,22648,276,118,84,9,106,272.9528565
"2",2,"2010-04-06",4826,2701,3822.24997289922,-474.022785365085,3598.07239952404,1587.47235040615,3672,6348,3969,16890,282,140,60,13,154,296.9459772
"3",3,"2010-05-04",5019,3349,3975.22604041205,-701.715680273797,3909.58435610161,1482.72164255152,3611,6500,3932,22483,278,123,76,10,134,307.8200479
"4",4,"2010-06-01",5323,4223,3771.64801517484,397.680636578206,3662.94344914812,3231.03185738384,3461,9900,3789,21472,275,116,79,14,169,298.4088662
"5",5,"2010-07-06",4620,5557,3787.68323835937,1254.42536168507,3110.82497867721,4004.34737312297,3066,12181,3223,30975,279,115,111,5,60,281.5315748
"6",6,"2010-08-03",4302,6730,3629.42665275643,1997.4954135379,2932.24640899825,5020.32887402194,2769,14055,2974,34322,291,127,111,7,88,269.9744775
"7",7,"2010-09-01",4681,3050,3631.96268774847,-327.354276515442,3730.06689802164,1565.95239064548,3197,6350,3522,18875,294,151,75,10,124,282.3599592
"8",8,"2010-09-15",5188,3002,3493.07664866324,-207.845012598434,3837.93037238705,1709.11720627309,3228,6340,3601,19000,300,127,73,10,120,282.3599592
"9",9,"2010-10-05",5256,2797,3613.73537044617,-1154.63043205186,3847.79778115108,1239.92351624705,3220,7000,3521,22258,304,122,80,10,133,289.3311153
"10",10,"2010-10-19",5196,2753,3604.01731474075,-1302.1684729661,3692.43236691222,1377.57868595765,3071,8500,3483,24041,306,116,89,10,122,289.3311153
"11",11,"2010-11-02",5393,2450,3540.86837290359,-1367.48676785427,4196.21604354383,744.397085240995,3020,6009,3495,21910,307,119,83,10,122,292.0727169
"12",12,"2010-11-16",5341,2451,3450.36610709779,-1280.61474160181,3975.34546667083,803.071244447177,3096,5953,3447,22180,307,96,69,9,116,292.0727169
"13",13,"2010-12-01",5333,2601,3585.02771782493,-1139.5319285297,4083.12200795289,984.415716430149,3059,6502,3556,22500,306,122,77,10,121,293.3881559
"14",14,"2010-12-15",5380,3250,3661.06678969965,-459.011728302991,4201.41179914251,1521.84325341058,3127,6518,3619,22516,308,130,88,9,110,293.3881559
"15",15,"2011-01-04",5984,2313,3933.85980061868,-1059.46322892654,4779.77438368761,643.819536914997,3491,4100,3750,19000,309,140,79,11,132,314.2097542
"16",16,"2011-01-18",5946,2337,3943.31728916905,-824.089182562628,4694.51915958818,820.567160560539,3579,4100,3779,17000,310,130,88,9,109,314.2097542
"17",17,"2011-02-01",6486,2097,3946.48830419595,-150.67480195094,4659.51299749194,1307.70448708739,3913,3900,3994,13510,313,112,51,10,120,325.7409077
"18",18,"2011-02-15",6323,2750,3986.30695091269,607.985471961814,4834.244487446,1850.75926260363,3898,3882,4319,11000,312,121,68,9,108,325.7409077
"19",19,"2011-03-01",6424,2416,4106.70006688146,422.766114501633,5266.61149388658,1519.01483814302,3976,2844,4618,7000,304,114,45,12,149,349.0388285
"20",20,"2011-03-15",6111,2489,4161.988574072,371.933597532155,5283.04243344947,1418.08191479248,3816,2850,4104,7000,306,108,75,9,107,349.0388285
"21",21,"2011-04-05",5985,2475,4111.00715195857,355.770721585684,5226.73850068682,1288.24277907839,3763,2336,3877,7500,308,123,73,9,109,340.1392606
"22",22,"2011-04-19",5950,2425,4051.67812954991,356.336599450499,5172.51905345749,1274.08964230179,3770,2256,3911,7445,307,117,64,10,119,340.1392606
"23",23,"2011-05-03",5669,3625,3959.76207627024,912.647279407791,5219.54746096231,2035.30930209832,3908,2088,3859,7424,305,111,76,15,182,335.6333085
"24",24,"2011-05-17",5339,3583,3997.96914298691,575.364939913779,5122.97379106408,1745.99729914453,3824,2099,3862,7030,333,124,73,12,177,335.6333085
"25",25,"2011-06-01",5669,3217,4330.5842881105,-1566.64100932072,4932.21408216753,664.369926749421,4372,1806,3780,12454,338,146,80,12,241,333.4194414
"26",26,"2011-06-15",5345,4211,4117.40532456468,1028.02304867114,5132.54308856146,2070.6175908634,3993,2105,3887,12570,342,136,93,14,169,333.4194414
"27",27,"2011-07-05",5277,4125,4143.53986186096,943.312143051593,4695.52224134104,2372.41214721295,3704,4901,3637,15981,347,136,104,9,110,327.3221004
"28",28,"2011-07-19",4613,4800,4021.23249281,1687.56717184966,4553.0843704531,2798.48202114849,3487,4990,3475,16000,348,122,97,8,96,327.3221004
"29",29,"2011-08-02",4297,5489,4089.05849979687,1493.59451316056,4158.6387294066,3231.55882327699,3478,7057,3474,21921,355,152,116,10,122,312.8501034
"30",30,"2011-08-16",4273,5461,3985.07243883508,1306.51934110003,3997.48851415527,3444.20773577103,3437,8077,3385,22000,355,145,102,14,169,312.8501034
"31",31,"2011-09-06",4352,5295,4172.35048857021,861.994819031223,3833.92297532546,3297.31291000345,3443,9346,3313,26000,387,166,128,11,132,310.3927771
"32",32,"2011-09-20",3845,5896,4073.50571174478,1142.75223176649,3449.80845329814,4087.71063805144,3229,11973,3345,25989,417,155,133,11,143,310.3927771
"33",33,"2011-10-04",3702,5664,3801.75122049182,1240.81369125364,3468.664508173,3702.56664688678,3193,9993,3308,24444,427,155,129,12,144,295.9632888
"34",34,"2011-10-18",3644,5667,3754.090601439,1364.05920988259,3311.77876585744,3789.16441290364,3291,10029,3502,24326,443,149,120,12,146,295.9632888
"35",35,"2011-11-01",3308,5485,3633.19424650075,629.218119793791,3574.33580220005,2905.22782905989,3292,7753,3487,24000,463,149,122,16,196,295.8361009
"36",36,"2011-11-15",3571,5148,3724.92451255123,971.886228802641,3544.78393820238,3064.68690074939,3354,8025,3574,21950,482,166,123,13,158,295.8361009
"37",37,"2011-12-06",4012,4123,3716.46659152571,39.5361529431309,3561.37371844657,2309.76857758625,3423,7675,3637,22000,491,173,111,14,172,295.3228449
"38",38,"2011-12-20",4182,4178,3677.85301617004,471.722094290043,3385.40967555823,2812.68306218024,3312,9200,3589,22012,504,156,119,10,121,295.3228449
"39",39,"2012-01-03",3982,4090,3582.26084669457,-0.361244227953193,3848.48692221225,2049.42508858644,3268,6650,3554,19901,513,152,114,13,167,301.1460668
"40",40,"2012-01-17",4083,3551,3602.53226013795,-35.0071665981964,3863.83390325023,1693.43466224016,3351,5727,3562,18900,533,161,111,12,145,301.1460668
"41",41,"2012-02-01",3942,3624,3452.33494789098,-70.5613322879196,4049.20749781427,1461.48781995498,3296,4469,3533,17500,558,155,118,13,158,298.8982023
"42",42,"2012-02-15",3546,4048,3433.96516013301,196.771091387526,3805.42612196174,1616.95429059084,3259,4770,3420,20539,575,144,117,11,135,298.8982023
"43",43,"2012-03-06",3631,2844,3234.23806100429,-262.092329281559,3605.27575107654,1222.84155556432,3194,4677,3408,13900,580,145,112,11,132,288.7973921
