"","Product.Type","Price","PriceIndexPercentageChange","ProductSold","Date","ParticipatingBidders","ProductGroup12MSalesSplit","SupplyOffered","TwelveMonthQtySold","AveragePublishedPrice.1","ChangeInPriceIndex","EventDuration","MinSupply","QualifiedBidders","QuantitySold","TotalRounds","TwelveMonthQtySold.1","WinningBidders","Duration"
"1","AMF","6289","-4.9","TRUE",2017-08-01,"162","10.3","TRUE","67203","3343","-1.6","2:06","29840","521","32768","14","655337","129","126"
"2","Butter","5747","-4.9","TRUE",2017-08-01,"162","6.8","TRUE","44513","3343","-1.6","2:06","29840","521","32768","14","655337","129","126"
"3","BMP","2198","0.4","TRUE",2017-08-01,"162","1.4","TRUE","9479","3343","-1.6","2:06","29840","521","32768","14","655337","129","126"
"4","Ched","3932","-4.8","TRUE",2017-08-01,"162","3.6","TRUE","23854","3343","-1.6","2:06","29840","521","32768","14","655337","129","126"
"5","LAC","787","-4.3","TRUE",2017-08-01,"162","1.8","TRUE","11515","3343","-1.6","2:06","29840","521","32768","14","655337","129","126"
"6","MPC70",NA,NA,"FALSE",2017-08-01,"162",NA,"FALSE",NA,"3343","-1.6","2:06","29840","521","32768","14","655337","129","126"
"7","RenCas","6122","-4.4","TRUE",2017-08-01,"162","1.6","TRUE","10737","3343","-1.6","2:06","29840","521","32768","14","655337","129","126"
"8","SMP","1966","-3","TRUE",2017-08-01,"162","23.5","TRUE","153797","3343","-1.6","2:06","29840","521","32768","14","655337","129","126"
"9","SWP",NA,NA,"FALSE",2017-08-01,"162",NA,"FALSE",NA,"3343","-1.6","2:06","29840","521","32768","14","655337","129","126"
"10","WMP","3155","1.3","TRUE",2017-08-01,"162","51","TRUE","334239","3343","-1.6","2:06","29840","521","32768","14","655337","129","126"
"11","AMF","3606","-7.4",NA,2014-07-01,"184","8.8","TRUE","86062","3595","-4.9","2:09","41074","702","41513","12","972539","149","129"
"12","Butter","3181","-13.6",NA,2014-07-01,"184","6.5","TRUE","63013","3595","-4.9","2:09","41074","702","41513","12","972539","149","129"
"13","BMP","4135","4",NA,2014-07-01,"184","0.8","TRUE","8221","3595","-4.9","2:09","41074","702","41513","12","972539","149","129"
"14","Ched","4226","-2.9",NA,2014-07-01,"184","2.8","TRUE","27448","3595","-4.9","2:09","41074","702","41513","12","972539","149","129"
"15","LAC",NA,NA,NA,2014-07-01,"184",NA,"TRUE",NA,"3595","-4.9","2:09","41074","702","41513","12","972539","149","129"
"16","MPC70",NA,NA,NA,2014-07-01,"184",NA,"FALSE",NA,"3595","-4.9","2:09","41074","702","41513","12","972539","149","129"
"17","RenCas","10789","-2.1",NA,2014-07-01,"184","0.9","TRUE","8306","3595","-4.9","2:09","41074","702","41513","12","972539","149","129"
"18","SMP","3810","-0.9",NA,2014-07-01,"184","22.2","TRUE","216008","3595","-4.9","2:09","41074","702","41513","12","972539","149","129"
"19","WMP","3459","-5.4",NA,2014-07-01,"184","57.4","TRUE","558306","3595","-4.9","2:09","41074","702","41513","12","972539","149","129"
"20","AMF","6249","0","TRUE",2018-03-20,"170","7.8","TRUE","53092","3632","-1.2","1:55","16575","513","18635","14","676725","125","115"
"21","Butter","5281","0","TRUE",2018-03-20,"170","6.4","TRUE","43171","3632","-1.2","1:55","16575","513","18635","14","676725","125","115"
"22","BMP",NA,NA,"FALSE",2018-03-20,"170",NA,"FALSE",NA,"3632","-1.2","1:55","16575","513","18635","14","676725","125","115"
"23","Ched","3609","-3.9","TRUE",2018-03-20,"170","3.8","TRUE","25963","3632","-1.2","1:55","16575","513","18635","14","676725","125","115"
"24","LAC","590",NA,"TRUE",2018-03-20,"170","1.3","TRUE","9043","3632","-1.2","1:55","16575","513","18635","14","676725","125","115"
"25","MPC70",NA,NA,"FALSE",2018-03-20,"170",NA,"FALSE",NA,"3632","-1.2","1:55","16575","513","18635","14","676725","125","115"
"26","RenCas","4948","-2.9","TRUE",2018-03-20,"170","1.8","TRUE","11915","3632","-1.2","1:55","16575","513","18635","14","676725","125","115"
"27","SMP","1887","-8.6","TRUE",2018-03-20,"170","23.7","TRUE","160231","3632","-1.2","1:55","16575","513","18635","14","676725","125","115"
"28","SWP",NA,NA,"FALSE",2018-03-20,"170",NA,"FALSE",NA,"3632","-1.2","1:55","16575","513","18635","14","676725","125","115"
"29","WMP","3226","0.1","TRUE",2018-03-20,"170","53.9","TRUE","364846","3632","-1.2","1:55","16575","513","18635","14","676725","125","115"
"30","AMF","3644","-2.7","TRUE",2016-01-05,"166","10","TRUE","77866","2458","-1.6","1:54","24470","616","25671","12","778795","127","114"
"31","Butter","3314","6.7","TRUE",2016-01-05,"166","6.9","TRUE","53727","2458","-1.6","1:54","24470","616","25671","12","778795","127","114"
"32","BMP","1586","1","TRUE",2016-01-05,"166","1.1","TRUE","8673","2458","-1.6","1:54","24470","616","25671","12","778795","127","114"
"33","Ched","2964","3.5","TRUE",2016-01-05,"166","4.6","TRUE","36008","2458","-1.6","1:54","24470","616","25671","12","778795","127","114"
"34","LAC","594","11.4","TRUE",2016-01-05,"166","0.4","TRUE","3440","2458","-1.6","1:54","24470","616","25671","12","778795","127","114"
"35","MPC70",NA,NA,"FALSE",2016-01-05,"166",NA,"FALSE",NA,"2458","-1.6","1:54","24470","616","25671","12","778795","127","114"
"36","RenCas","4736","3.9","TRUE",2016-01-05,"166","1.3","TRUE","10368","2458","-1.6","1:54","24470","616","25671","12","778795","127","114"
"37","SMP","1890","-0.8","TRUE",2016-01-05,"166","21.4","TRUE","166621","2458","-1.6","1:54","24470","616","25671","12","778795","127","114"
"38","SWP",NA,NA,"FALSE",2016-01-05,"166",NA,"FALSE",NA,"2458","-1.6","1:54","24470","616","25671","12","778795","127","114"
"39","WMP","2210","-4.4","TRUE",2016-01-05,"166","54","TRUE","420207","2458","-1.6","1:54","24470","616","25671","12","778795","127","114"
"40","AMF","4954","-1","TRUE",2016-10-04,"166","11.5","TRUE","77658","2880","-3","1:51","30775","617","33937","13","672519","125","111"
"41","Butter","3891","-0.3","TRUE",2016-10-04,"166","8","TRUE","53711","2880","-3","1:51","30775","617","33937","13","672519","125","111"
"42","BMP","2408","9.3","TRUE",2016-10-04,"166","1.3","TRUE","8625","2880","-3","1:51","30775","617","33937","13","672519","125","111"
"43","Ched","3430","-2.3","TRUE",2016-10-04,"166","3.8","TRUE","25654","2880","-3","1:51","30775","617","33937","13","672519","125","111"
"44","LAC","744","-9.7","TRUE",2016-10-04,"166","1.3","TRUE","8445","2880","-3","1:51","30775","617","33937","13","672519","125","111"
"45","MPC70",NA,NA,"FALSE",2016-10-04,"166",NA,"FALSE",NA,"2880","-3","1:51","30775","617","33937","13","672519","125","111"
"46","RenCas","6574","-3.7","TRUE",2016-10-04,"166","1.7","TRUE","11576","2880","-3","1:51","30775","617","33937","13","672519","125","111"
"47","SMP","2209","-3.9","TRUE",2016-10-04,"166","23.8","TRUE","159891","2880","-3","1:51","30775","617","33937","13","672519","125","111"
"48","SWP",NA,NA,"FALSE",2016-10-04,"166",NA,"FALSE",NA,"2880","-3","1:51","30775","617","33937","13","672519","125","111"
"49","WMP","2681","-3.8","TRUE",2016-10-04,"166","48.6","TRUE","326959","2880","-3","1:51","30775","617","33937","13","672519","125","111"
"50","AMF","6569","-1.2","TRUE",2017-06-06,"183","11","TRUE","69173","3395","0.6","2:25","19705","563","22004","16","628931","125","145"
"51","Butter","5631","3.3","TRUE",2017-06-06,"183","7.1","TRUE","44785","3395","0.6","2:25","19705","563","22004","16","628931","125","145"
