Date,"World Price, US$, and SDRs",New Zealand dollar
Jan 86,100,100
Feb 86,102.327571,105.9242527
Mar 86,108.8396366,109.4522424
Apr 86,114.335242,104.8480576
May 86,123.7446631,116.3634025
Jun 86,122.0114456,120.6607654
Jul 86,120.1534682,124.400732
Aug 86,118.3674494,128.7438168
Sep 86,119.7826648,130.7340833
Oct 86,122.205403,129.0173252
Nov 86,120.3939787,124.697918
Dec 86,125.9369279,128.9440178
Jan 87,125.56504,123.8323118
Feb 87,128.6423646,123.4598163
Mar 87,127.7239983,121.0611195
Apr 87,126.7705507,116.8914763
May 87,124.3992424,115.4797262
Jun 87,124.763483,113.1526681
Jul 87,122.8752649,116.4653262
Aug 87,116.9737623,103.7015161
Sep 87,117.753351,97.52131661
Oct 87,120.7370576,111.0988204
Nov 87,112.9789654,94.76795843
Dec 87,111.9153811,91.23443995
Jan 88,114.5810093,93.13982623
Feb 88,112.9823121,91.22221538
Mar 88,114.6425744,92.76755219
Apr 88,117.334555,94.98366264
May 88,117.2529627,91.08046088
Jun 88,119.5782214,91.41536839
Jul 88,121.5483193,97.38747073
Aug 88,119.3583277,98.55920208
Sep 88,121.5593203,105.7731761
Oct 88,129.3432725,111.6024405
Nov 88,135.080901,112.9673826
Dec 88,141.0618164,118.7795674
Jan 89,141.4920826,121.3387565
Feb 89,140.1463658,121.7222498
Mar 89,139.1953677,121.1452056
Apr 89,140.0411057,122.6113656
May 89,141.8829297,125.1767841
Jun 89,134.4126978,125.4144141
Jul 89,138.9567791,129.3401505
Aug 89,139.3165057,126.3318315
Sep 89,141.4690212,128.1012423
Oct 89,139.9322898,127.6905832
Nov 89,138.3964822,126.198311
Dec 89,130.8889342,118.0259172
Jan 90,132.3279612,117.4245566
Feb 90,129.9197165,117.5029833
Mar 90,125.3279506,114.7978385
Apr 90,122.013393,112.864231
May 90,118.2162245,110.4185002
Jun 90,116.8969955,107.532998
Jul 90,108.7226366,98.50386317
Aug 90,106.5908426,93.02258418
Sep 90,104.4304145,90.06895344
Oct 90,104.2201315,91.21037179
Nov 90,102.6770771,89.96040487
Dec 90,103.7192644,93.04765579
Jan 91,106.6558382,96.09757018
Feb 91,109.8978723,97.84764303
Mar 91,108.1964885,97.52840902
Apr 91,105.0513214,95.50428663
May 91,103.5763329,94.56686039
Jun 91,103.4211619,96.03988737
Jul 91,104.0789678,98.24469301
Aug 91,107.5731321,100.4658863
Sep 91,110.9945103,102.5573968
Oct 91,115.7543888,109.9026605
Nov 91,118.2370782,112.4915731
Dec 91,119.0690325,115.2690256
Jan 92,123.540024,121.9597802
Feb 92,121.6428631,120.2907147
Mar 92,125.463287,122.6925089
Apr 92,125.7045321,124.2973329
May 92,129.346952,129.3871843
Jun 92,131.2714217,129.8707194
Jul 92,136.8228785,134.2474787
Aug 92,139.8691124,138.6008213
Sep 92,139.2512581,137.718971
Oct 92,137.9107309,136.9064561
Nov 92,136.5225871,140.3928703
