AveragePublishedPrice,PriceIndexPercentageChange,ProductGroup12MSalesSplit,ProductGroupCode,ProductGroupGUID,ProductGroupName,ProductSold,SupplyOffered,TwelveMonthQtySold,key
6289,-4.9,10.3,AMF,4908c8e8-c2b2-4542-9d53-e61368934b89,Anhydrous Milkfat,TRUE,TRUE,67203,007df5ab-eafb-4f99-ad6d-0dac8a9eda94
5747,-4.9,6.8,Butter,0a265106-5dba-4154-b1d4-e1a3a1d255cc,Butter,TRUE,TRUE,44513,007df5ab-eafb-4f99-ad6d-0dac8a9eda94
2198,0.4,1.4,BMP,08d03ca4-6a54-452d-a9ad-333de226f573,Buttermilk Powders,TRUE,TRUE,9479,007df5ab-eafb-4f99-ad6d-0dac8a9eda94
3932,-4.8,3.6,Ched,c499718a-1638-4299-8ac1-a2fd38df1682,Cheddar Cheese,TRUE,TRUE,23854,007df5ab-eafb-4f99-ad6d-0dac8a9eda94
787,-4.3,1.8,LAC,8043a51a-699c-4d57-afc9-24399961a932,Lactose,TRUE,TRUE,11515,007df5ab-eafb-4f99-ad6d-0dac8a9eda94
,,,MPC70,,Milk Protein Concentrate 70,FALSE,FALSE,,007df5ab-eafb-4f99-ad6d-0dac8a9eda94
6122,-4.4,1.6,RenCas,ad5a07ce-7160-4498-9117-03ea3551fc22,Rennet Casein,TRUE,TRUE,10737,007df5ab-eafb-4f99-ad6d-0dac8a9eda94
1966,-3,23.5,SMP,5c469576-aeb8-4d8a-a73e-ca2b98f95d57,Skimmilk Powders,TRUE,TRUE,153797,007df5ab-eafb-4f99-ad6d-0dac8a9eda94
,,,SWP,,Sweet Whey Powder,FALSE,FALSE,,007df5ab-eafb-4f99-ad6d-0dac8a9eda94
3155,1.3,51,WMP,ef46fb95-1db7-4082-a3f3-f411a167088d,Wholemilk Powders,TRUE,TRUE,334239,007df5ab-eafb-4f99-ad6d-0dac8a9eda94
3606,-7.4,8.8,AMF,96e91e91-6e87-463a-b0f7-e8c64dfd18c0,Anhydrous Milkfat,,TRUE,86062,049a5ed1-6ebc-4f28-bc43-524e5c5d9a26
3181,-13.6,6.5,Butter,ffc6cf39-177c-4d28-847b-f67b1682f257,Butter,,TRUE,63013,049a5ed1-6ebc-4f28-bc43-524e5c5d9a26
4135,4,0.8,BMP,b5eea1e9-9f8e-4279-b922-ae83b1217e5a,Buttermilk Powders,,TRUE,8221,049a5ed1-6ebc-4f28-bc43-524e5c5d9a26
4226,-2.9,2.8,Ched,b621a79f-4780-4017-9595-53f987f8a52f,Cheddar Cheese,,TRUE,27448,049a5ed1-6ebc-4f28-bc43-524e5c5d9a26
,,,LAC,,Lactose,,TRUE,,049a5ed1-6ebc-4f28-bc43-524e5c5d9a26
,,,MPC70,,Milk Protein Concentrate 70,,FALSE,,049a5ed1-6ebc-4f28-bc43-524e5c5d9a26
10789,-2.1,0.9,RenCas,93fc170b-ece3-49a2-815f-6aadc3e433a5,Rennet Casein,,TRUE,8306,049a5ed1-6ebc-4f28-bc43-524e5c5d9a26
3810,-0.9,22.2,SMP,f823ab4c-1f61-450d-82f0-c2bf854f07a9,Skimmilk Powders,,TRUE,216008,049a5ed1-6ebc-4f28-bc43-524e5c5d9a26
3459,-5.4,57.4,WMP,d20ef0cf-ae2d-44c3-b061-b001fc07cc6a,Wholemilk Powders,,TRUE,558306,049a5ed1-6ebc-4f28-bc43-524e5c5d9a26
6249,0,7.8,AMF,f4b52f0a-c832-400a-b640-94f15f82e2e7,Anhydrous Milkfat,TRUE,TRUE,53092,09282eeb-a629-40a0-bf53-314b48df3673
5281,0,6.4,Butter,a1961653-7e90-46a9-8001-97a81e2981f0,Butter,TRUE,TRUE,43171,09282eeb-a629-40a0-bf53-314b48df3673
,,,BMP,,Buttermilk Powders,FALSE,FALSE,,09282eeb-a629-40a0-bf53-314b48df3673
3609,-3.9,3.8,Ched,c821760f-e251-43cc-8e59-73dcb0909c35,Cheddar Cheese,TRUE,TRUE,25963,09282eeb-a629-40a0-bf53-314b48df3673
590,,1.3,LAC,81205f77-d89a-44db-b14c-5feeb1d42496,Lactose,TRUE,TRUE,9043,09282eeb-a629-40a0-bf53-314b48df3673
,,,MPC70,,Milk Protein Concentrate 70,FALSE,FALSE,,09282eeb-a629-40a0-bf53-314b48df3673
