"","Price","ProductGroup12MSalesSplit","12MonthWMPSold","AuctionPrice","EventDuration","MaxSupply","MinSupply","ParticipatingBidders","QualifiedBidders","QuantitySold","TotalRounds","12MonthAllProdSold","WinningBidders","EventMonth"
"10",3155,51,334239,3343,126,35510,29840,162,521,32768,14,655337,129,8
"19",3459,57.4,558306,3595,129,43249,41074,184,702,41513,12,972539,149,7
"29",3226,53.9,364846,3632,115,20485,16575,170,513,18635,14,676725,125,3
"39",2210,54,420207,2458,114,26174,24470,166,616,25671,12,778795,127,1
"49",2681,48.6,326959,2880,111,35760,30775,166,617,33937,13,672519,125,10
"59",3143,50.4,316916,3395,145,23566,19705,183,563,22004,16,628931,125,6
"69",1952,53.2,423911,2276,100,26305,23535,144,619,24474,11,796495,124,2
"79",2054,56.9,537437,2276,106,33595,31570,158,652,33200,11,944910,140,7
"89",2443,57,615592,2599,140,56476,54112,167,657,55057,13,1079717,145,10
"99",2078,57.1,516497,2226,157,36515,34395,166,635,35865,16,904068,116,9
"109",3241,57.6,613979,3374,136,22555,20955,160,703,22094,14,1065359,107,3
"119",3312,49.6,312511,3313,153,22398,19130,164,553,21236,19,630025,103,5
"129",3122,52.4,332311,3368,140,37190,31540,174,539,34117,17,633885,134,9
"139",2958,52.3,334887,3136,119,37675,31405,191,529,34076,13,640289,126,8
"148",3877,57.2,528456,3873,150,34328,32611,193,734,33677,14,924175,139,5
"158",2883,52.6,335421,3044,117,36230,29840,158,534,32041,13,637214,126,8
"168",2118,50.3,360903,2339,117,24680,21181,168,601,23089,13,718146,114,6
"178",3294,48.7,338781,3463,117,23825,19930,151,523,22396,13,695295,120,1
"188",2905,51.6,345890,3232,115,28935,24065,152,524,26519,13,669721,118,7
"198",3226,53.4,335657,3553,138,24380,19995,188,524,22197,15,628951,126,2
"208",3231,53.5,352183,3465,127,21120,17830,150,519,19508,14,658697,97,5
"218",3568,48.4,320422,3656,112,23760,19875,168,520,22321,13,661358,123,12
"228",2886,52.9,344837,3124,128,27805,23005,158,516,25400,16,651407,112,1
"238",3189,49.1,316648,3474,97,22205,18795,149,530,20479,12,644654,114,2
"248",3272,57.6,620817,3366,137,23485,22175,167,694,22957,14,1078383,97,2
"258",2446,56.9,562477,2620,107,25835,24290,154,673,25596,11,988198,108,4
"268",3143,51.3,336375,3339,118,34445,29065,174,522,32260,13,655958,140,8
"278",3246,53.7,343622,3623,125,22845,18550,152,527,20256,14,640091,114,2
"288",2830,52.7,343274,3091,119,32675,27645,160,563,29514,13,651134,123,12
"298",2522,57.2,622808,2649,133,46283,44733,165,672,45499,12,1087915,139,11
"308",2655,52.5,333463,2851,182,46933,39267,173,517,42412,18,635272,142,11
"317",4943,58.6,522812,5025,129,41338,39620,193,833,41024,12,891483,134,1
"327",2998,49.4,323765,3139,125,24435,20890,173,541,22927,14,655156,130,4
"337",2821,52.6,346635,2980,163,42505,35475,178,541,38811,19,658794,126,9
"347",2973,51.8,345003,3222,125,28000,23280,168,524,25454,15,666341,126,7
"357",2852,53.1,330770,3105,129,38240,32575,165,554,35072,14,623139,133,11
"367",2824,57,484698,2834,157,35690,33760,180,635,35243,17,850806,119,10
"376",5005,58.6,551697,5042,129,36098,34170,185,788,35399,12,940787,124,2
"386",3022,51,321647,3434,168,22464,19055,160,522,21171,21,631023,111,6
"396",2804,57.4,584270,3000,141,48179,45673,181,650,46387,13,1017134,141,8
"406",3232,53.7,359504,3593,162,21180,17210,174,529,19292,22,669605,130,3
"416",2079,49.6,343956,2336,120,33620,29195,168,603,31348,13,693018,133,7
"434",3088,57.4,571118,3309,141,38483,36604,177,663,36656,13,995176,144,7
"444",2327,56.7,544993,2409,117,24445,22770,156,649,24047,12,960756,125,6
"453",2725,57.8,578653,3025,118,49966,47799,178,668,48380,11,1001094,153,8
"463",2768,52.7,346836,2934,134,43200,36100,179,503,39143,15,658424,149,9
"472",3990,57.8,515927,4047,128,38674,36686,199,764,36549,12,891925,148,4
"482",2855,49,311695,3101,109,24423,20933,154,533,22498,12,636401,113,3
"492",3233,49.5,313161,3166,139,24328,20380,163,548,22633,15,633226,106,5
"502",2705,53.2,365758,2986,149,31540,26070,167,515,28651,15,687370,115,1
"511",4033,58.1,517401,4124,118,41092,38905,201,756,39653,11,890759,167,4
"521",3311,53.6,365141,3587,129,20580,17380,182,518,19262,16,680727,102,4
"531",3037,52.4,346816,3223,135,39615,33610,149,541,37990,16,662459,132,10
"541",2760,48.6,326862,2965,92,33080,28550,164,620,31525,10,672176,115,10
"551",2793,48.5,327300,2920,129,39705,34200,199,613,36748,14,674177,131,9
"561",3226,53.1,350526,3637,121,19675,16610,164,527,18161,14,659621,111,5
"571",2062,50,348684,2345,136,35240,30614,164,602,32500,15,697408,133,7
"580",4439,58.4,547304,4563,108,39806,37511,187,747,39008,10,937849,142,3
"589",4703,58.6,552655,4794,118,42037,39943,189,796,41086,11,942587,139,3
"599",3205,52.5,356539,3487,130,23100,19680,179,519,21580,15,678690,118,6
"609",2390,56.7,563880,2472,137,27245,25645,162,687,26535,14,994058,128,5
"619",2156,50.9,373800,2263,118,22569,19904,163,617,21206,13,733742,114,4
"629",3100,52.1,331310,3323,134,37265,31430,173,537,33501,15,635803,140,9
"639",2778,53,327129,2970,114,37235,32000,160,557,35042,14,617633,139,11
"649",2782,48.9,312199,3512,89,24025,20440,134,530,22328,10,638968,113,3
"659",2205,50.5,363546,2329,151,25217,21680,161,614,24046,18,719834,108,6
"669",2695,48.7,343083,2731,156,40765,35085,177,606,37766,17,704377,119,8
"679",3283,49.1,339893,3517,93,23325,19555,178,526,22030,10,691577,113,1
"689",2692,57,605273,2795,117,52785,50233,191,642,50801,11,1061878,152,9
"699",2260,55.9,486790,2419,132,29763,28018,161,613,28158,15,870370,121,12
"709",2495,56.8,506560,2568,182,36515,34515,186,639,36050,18,891103,121,9
"719",3314,49.2,320074,3537,106,22735,19065,172,530,21273,12,650796,104,2
"729",2400,56.9,611341,2561,140,40145,38750,173,676,39613,13,1073715,134,11
"739",2503,57,613687,2640,151,52026,49797,167,668,50816,14,1077483,132,10
"749",2176,50.8,369386,2203,106,21530,19250,147,620,20615,12,726890,118,5
"759",3423,48.2,336333,3519,141,25980,21815,164,510,23902,18,698343,106,11
"769",2402,57.6,600038,2758,129,31835,29946,169,677,31326,12,1042575,113,1
"779",2928,57.3,600962,3136,122,20980,19530,134,667,20258,12,1048805,110,3
"789",2753,52.6,349035,2901,148,46905,39255,170,506,41981,15,663772,143,10
"799",2924,49.2,324396,3005,111,24960,21330,157,537,22642,13,658797,118,4
"809",1971,51.9,392172,2190,117,22365,20031,134,606,20406,13,755200,118,3
"819",1590,57,525701,1815,117,48515,46245,152,637,46527,12,921673,142,8
"829",2674,52.8,358992,2844,122,39022,32510,184,514,36181,13,679506,143,12
"839",2755,52.8,342450,2969,120,32605,27620,167,509,29592,13,648503,139,12
"849",2599,52.4,332529,2727,124,46952,39425,170,503,42966,15,635053,143,11
"859",3593,48.2,319077,3622,117,24570,20520,159,516,22472,13,662322,109,12
"869",2673,57.3,604163,2787,106,59070,56598,184,660,57010,10,1054146,158,9
"879",2304,55.1,467641,2458,99,25595,23965,161,613,24888,10,849410,112,12
"889",2453,56.9,507613,2569,92,35390,33525,151,643,33997,10,892368,132,11
"899",3111,50.9,332910,3303,157,30043,25640,165,523,28574,19,653665,127,7
"908",3928,57.6,534776,3950,139,39220,37418,207,724,38174,13,927930,138,5
"918",2538,57,570912,2746,106,24010,22580,127,669,23162,11,1000947,96,4
"928",2307,57.3,592835,2709,150,34300,32535,173,671,33669,14,1035020,121,1
"938",2188,53.3,406249,2405,107,23265,21650,156,616,21930,11,762498,115,1
"948",3189,52.2,352055,3481,121,23680,20220,165,522,21634,14,674997,127,6
"958",2782,48.6,327395,2975,115,37435,32270,175,616,35086,13,673219,129,9
"967",3594,57.2,532896,3756,139,37560,35521,195,738,37012,13,931794,144,6
"977",2386,56.7,571001,2515,127,27910,26505,144,685,27369,13,1006500,117,5
"987",1848,56.9,529821,2082,96,33095,31105,135,628,31691,10,930853,130,7
"997",2265,49.2,351406,2436,118,37290,31725,180,605,34928,12,713633,138,8
"1007",1890,52.8,412189,2235,118,24200,21665,151,604,22021,14,781040,115,2
"1017",2667,52.4,353335,2819,136,40192,33360,178,507,36450,18,673864,139,12
"1026",4999,58.4,548585,5016,96,34998,33079,191,793,34568,9,938978,130,2
"1036",3014,52.7,345765,3204,137,38240,32800,165,544,35669,16,656647,137,10
"1046",2148,56.4,496708,2345,115,31425,29690,141,609,30044,13,880892,117,11
